Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C29, C31, C32, C33, C35, C42, C43, C44, C45, C46, C47, C48, C6, C8",0603,16,10u,C96446
"C10, C14, C15, C16, C18, C19, C20, C21, C22, C34, C36, C41, C49, C5, C50, C51, C52",0402,17,100n,C307331
C11,1206,1,10u,C13585
C12,1206,1,22u,C12891
C13,0603,1,330n,C1615
"C17, C37",0402,2,4u7,C23733
"C23, C27, C3, C4, C7, C9",0402,6,10n,C15195
"C24, C26, C53, C54",0402,4,1u,C52923
"C25, C28",0402,2,10p,C32949
C30,0805,1,2.2u,C377773
"C38, C39",0402,2,47n,C82219
C40,0402,1,1n,C1523
C55,0402,1,100n,C1525 
"D1, D2, D3, D4, D5",D_SMA,5,~,C22452
"D10, D11, D12, D8, D9",0805,5,green,C2297
"D13, D6",0603,2,red,C2286
D7,0805,1,yellow,C2296
F1,2010,1,20A,C2762483 
"F2, F3",1206,2,5A,C48332
FB1,0603,1,120R,C14709
L1,L_Wurth_WE-LQSH-3012,1,1u,C7423316
"R1, R2, R3, R6, R7, R9",0402,6,22R,C25092
R10,0603,1,68k,C23231
"R11, R13, R32, R38, R4, R5, R_TS_PU1",0402,7,10k,C25744
R12,0603,1,30k,C22984
"R14, R16, R17, R18, R19, R20, R21, R22, R23, R35, R36",0402,11,1k,C11702
R15,0402,1,100k,C25741
R24,0603,1,2,C22977 
"R25, R28",0402,2,10k,C25744 
R26,0402,1,500R, C25123 
R27,0603,1,20k,C4184
R29,0402,1,2k2,C25879
R30,0603,1,5k24,C23068
R31,0805,1,30k31,C21841
R33,0402,1,100,C25076
R34,2512,1,5m,C41382686
R37,0402,1,20k,C25765
"R_IN1, R_IN2, R_IN3, R_IN4",0603,4,75,C4275
R_LD1,0402,1,453k,C27009
"SW1, SW2",SW_SPST_TS-1088-xR020,2,~,C720477
"TP1, TP10, TP11, TP12, TP13, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D2.0mm,13,TestPoint,
U1,SOT-223-3_TabPin2,1,AZ1117I-3.3,C92102
U2,SOT-563,1,TPD4E1U06,C527516
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2562-E-SN,C191417
U4,TO-252-2,1,L7805,C58069
U5,LQFP-64_10x10mm_P0.5mm,1,STM32F105RCTx,C8345
U6,IC_BQ25798RQMR,1,BQ25798RQMR,C2876593
U7,TSSOP-24_4.4x7.8mm_P0.65mm,1,BQ7791500PWR,C2876946
U8,SOT-23-6,1,INA181A1,C2058943
U9,SOT-23-5,1,MCP6001-OT,C116490
Y1,Crystal_SMD_5032-4Pin_5.0x3.2mm,1,8MHz 12pF,C2149245
